id	title	group	nearNode	riskScore	intro
lc_cheonan_walnut	호두과자의 원조	local-culture	cheonan	5	국도변에 연기 오르는 리어카. 호두과자 기계가 돌아간다. 수동 개조판이다. "천안이니까요. 여기서 호두과자 없으면 그게 멸망이죠." 페달을 밟아 기계를 돌리는 청년의 다리가 우람하다.
lc_gunsan_bakery	가장 오래된 빵집	local-culture	gunsan	5	군산, 전국에서 가장 오래된 빵집이었던 곳. 놀랍게도— 문이 열려 있다. 3대째 주인이 장작 오븐으로 단팥빵을 굽고 있다. "전기가 끊긴 거지, 오븐이 끊긴 게 아니거든. 원래 장작으로 시작한 집이야. 원점 회귀지."
lc_pohang_gwamegi	과메기 덕장	local-culture	pohang	5	해풍에 꽁치가 줄줄이 마르는 덕장. 갯내와 비린내와 바람. 덕장 주인이 부른다. "젊은이들! 과메기 먹어봤나? 초장에 미역 싸서. 못 먹으면 반값, 잘 먹으면 덤!"
lc_sejong_library	개관 못 한 도서관	local-culture	sejong,gongju	5	세종의 거대한 국립도서관. 개관 예정일 현수막이 오랫동안 걸려 있다. 안에는— 포장도 안 뜯은 새 책 수십만 권. 세상에서 제일 큰 새 책 냄새가 난다.
lc_suwon_galbi	왕갈비의 냄새	local-culture	suwon	5	수원 성곽 근처. 어디선가 갈비 양념 냄새가 난다. 성곽 공동체의 저녁 배식 준비다. 오늘이 한 달에 한 번 있는 "고기날"이란다. 문지기가 씩 웃는다. "타이밍 좋네. 손님도 한 접시요."
lc_yeongdong_wine	와인 터널	local-culture	yeongdong,gimcheon	5	폐 철도 터널을 개조한 와인 저장고. 서늘한 어둠 속에 술통들이 잠들어 있다. 입구 방명록: "가져가는 만큼 사연을 적을 것 — 관리인" 사연 노트가 이미 세 권째다.
near_geochang_actor	무대 위의 한 사람	regional-landmark	geochang	5	거창 읍내 폐극장. 문틈으로 목소리가 샌다. "…죽느냐 사느냐, 그것이 문제로다—" 무대 위에 남자 하나. 객석은 텅 비었는데, 정장까지 갖춰 입고 독백 연습 중이다.
near_muju_firefly	반딧불이 계곡	regional-landmark	muju	5	무주 계곡길. 헤드라이트를 끄자— 계곡 전체가 별밭이 됐다. 반딧불이 수천 마리. 불빛 하나하나가 느리게 깜빡이며 떠다닌다. 오래전엔 보호구역이었다. 지금은 세상 전체가 보호구역이다.
npc_deokgu_2	북쪽만 보는 문지기	settlement-npc-followup	suwon	5	수원 성곽. 덕구가 순찰을 돈다. 따라가 봤다. 성벽 위 화살수들은 전부 북쪽을 본다. 덕구도. 오랫동안 남쪽에선 아무도 안 온다는 듯이. "…왜 북쪽만 보냐고? 지나가는 놈마다 묻지. 아무도 답은 못 듣고."
parcel_found	세 살의 주인	other	suwon,pyeongtaek,seoul	5	수원 성곽 근처 밭에서 일하는 부부. 옆에서 아이가 흙장난 중이다. "김하늘 어린이 맞나요? 오래전에 주문하신 물건이… 이제 도착해서요." 신발 상자를 내밀었다. 부부가 얼어붙었다.
van_garage	대양카센터	other	gimcheon,gumi,sangju	5	국도변, 간판이 반쯤 떨어진 카센터. 「대양카센ㅌ」. 영수증의 그곳이다. 셔터는 내려가 있지만 옆문이 열려 있다. 정비 피트엔 낙엽이 쌓였고, 벽에는 폴라로이드가 수십 장 붙어 있다. 이 카센터를 거쳐간 차들과 주인들.
cell_mountain_meet	산지기	resistance-cell	daegwallyeong,gangneung,wonju,geochang,mungyeong	3	산길 중턱. 나무 사이에서 사람 그림자들이 소리 없이 나타났다. 사냥꾼 차림, 무기는 활. 총이 아니라. "…길 잃었나. 아니면 이음망?" 앞선 이가 물었다. 눈빛이 짐승처럼 밝다.
ev_plum_blossom	매화 그늘	special-node-scene	maehwa	3	폐가 마당에 매화나무 한 그루가 만개했다. 집은 무너졌는데 나무만 철따라 어김없이 핀다. 꽃잎이 바람에 날려 차 앞유리에 붙었다 떨어진다.
ev_seaside_restaurant	바닷가 폐횟집	special-node-scene	sokcho,gangneung,pohang	3	파도 소리. 유리창이 다 깨진 횟집이 바다를 마주보고 서 있다. 수족관은 오래전 말랐고, 벽엔 빛바랜 메뉴판. "모둠회 (시가)". 바다는 아무 일 없다는 듯, 여전히 밀려왔다 밀려간다.
ev_sunflower_field	해바라기밭	special-node-scene	sunflower	3	길가에 해바라기가 지평선까지 피었다. 아무도 심지 않았는데 저 혼자 몇 년째 씨를 떨구고 다시 폈다. 전부 같은 쪽— 폐허가 된 도시 반대편, 아직 해가 뜨는 쪽을 보고 있다.
lc_andong_fish	간고등어 지게	local-culture	andong	3	지게에 간고등어 두름을 진 행상이 고개를 넘는다. "옛날엔 바다에서 안동까지 이틀. 소금 안 치면 다 상했지. 간잽이가 괜히 있나." "지금도 이틀 걸려. 세상이 옛날로 돌아온 거지, 뭐."
lc_busan_dried	자갈치 아지매	local-culture	busan,gimhae	3	리어카 가득 건어물을 실은 아지매가 손을 흔든다. "오데 가노! 서울?! 아이고 야야, 그라모 이거 무라. 마른 것들은 배신 안 한데이."
lc_damyang_juktong	죽통밥 굽는 사람	local-culture	damyang,gwangju	3	대숲 어귀 모닥불에서 대나무 통이 익어간다. "죽통밥이요. 대나무가 밥을 지키고, 밥이 대나무 향을 얻고. 서로 돕는 밥이죠."
lc_gyeongju_stars	첨성대 관측회	local-culture	gyeongju	3	첨성대 앞 잔디밭에 사람들이 누워 있다. "별 보러 오셨어요? 여기가 명당이에요. 1400년 전에도 여기서 별을 봤대요. 조상님들 안목은 못 속여."
lc_icheon_rice	가마솥 쌀밥집	local-culture	icheon	3	이천 쌀밥집 거리의 마지막 생존 가게. 가마솥에서 김이 오른다. "쌀은 우리가 직접 지어. 이천이잖아." 반찬은 세 가지뿐이지만 밥에서 광이 난다. 문자 그대로.
lc_jeonju_bibim	비빔밥 트럭	local-culture	jeonju	3	전주 외곽, 짐칸을 주방으로 개조한 트럭. "전주가 밥의 수도였다는 걸 잊지 않게 하려고 다닙니다." 요리사가 재료를 늘어놓는다. 콩나물, 고사리, 계란… 없는 건 "마음의 눈으로" 채우란다.
lc_ulsan_whale	귀신고래	local-culture	ulsan	3	장생포 앞바다. 낚시하던 노인이 갑자기 소리친다. "저기!! 저기 봐라!!" 수면 위로— 거대한 등이 천천히 솟았다 가라앉는다. 물기둥이 하늘로 뿜어진다. "귀신고래다… 몇십 년 만에 돌아온 기고… 사람이 조용해지니까 왔데이…"
near_hapcheon_sutra	목판을 지키는 사람	regional-landmark	hapcheon	3	가야산 방향 갈림길에서 승복 차림의 남자가 손수레를 밀고 있다. 수레엔 나무 상자들이 실렸다. "목판입니다." 스님이 담담히 말했다. "산문이 무너져서, 옮길 수 있는 것부터 옮기는 중입니다. 팔백 년을 버틴 나무라, 저희가 못 지키면 면목이 없지요."
near_jinju_lantern	남강의 유등	regional-landmark	jinju	3	진주 남강. 밤 강물 위에 불빛 몇 개가 떠 있다. 유등이다. 축제는 오래전에 끝났는데— 누군가 아직 등을 만들어 띄우고 있다. 강가에 노인 한 명. 발밑에 만들다 만 등이 서너 개.
near_mungyeong_omija	오미자 할머니	regional-landmark	mungyeong	3	문경 산길 초입, 평상에 유리병들이 진열돼 있다. 붉은 액체— 오미자청이다. "다섯 가지 맛이 나서 오미자야." 평상의 할머니가 병 하나를 흔들었다. "단맛 신맛 쓴맛 짠맛 매운맛. 인생 축소판이지."
near_yeosu_camellia	동백숲	regional-landmark	yeosu	3	여수 해안가 동백숲. 꽃이 만개했다. 동백은 지는 방식이 다르다— 시들지 않고, 통째로 툭 떨어진다. 숲 바닥이 떨어진 꽃송이로 붉은 카펫이다. 지는 것까지 예쁜 건 반칙이라고, 중얼거림이 샜다.
npc_drhan_2	반쪽 수식	settlement-npc-followup	daejeon	3	연구단지 코뮌. 한 박사가 정리되지 않은 연구실의 화이트보드 앞에 서 있다. 절반은 수식, 절반은 지운 자국. "…이 지운 자국이요, 제가 지운 게 아닙니다."
